TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,HOME_AREA,WORK_AREA,BLUEBOOK_orderNorm,HOME_VAL_sqrt,INCOME_orderNorm,MVR_PTS_log,OLDCLAIM_yeoj,TIF_yeoj,TRAVTIME_yeoj,YOJ_orderNorm,CLM_FREQ_log,CAR_AGE_sqrt,PARENT1.No,PARENT1.Yes,MSTATUS.No,MSTATUS.Yes,SEX.F,SEX.M,EDUCATION.L,EDUCATION.Q,EDUCATION.C,JOB,JOBBlue Collar,JOBClerical,JOBDoctor,JOBHome Maker,JOBLawyer,JOBManager,JOBProfessional,JOBStudent,CAR_USECommercial,CAR_USEPrivate,CAR_TYPEMinivan,CAR_TYPEPanel Truck,CAR_TYPEPickup,CAR_TYPESports Car,CAR_TYPESUV,CAR_TYPEVan,RED_CAR.No,RED_CAR.Yes,REVOKED.No,REVOKED.Yes,URBANICITYHighly Rural/ Rural,URBANICITYHighly Urban/ Urban,HOME_AREAHighly Rural,HOME_AREAHighly Urban,WORK_AREARural,WORK_AREAUrban
0,0,-0.33642871349117504,1.7702024942804815,-0.648561868269201,0.11611015406007393,0.10573306016721142,No,-1.182840082052029,No,M,PhD,Professional,-1.215899412718864,Private,-0.17324353699236816,1.337612169494064,Minivan,Yes,0.06100441664585932,1.0264285059320701,No,0.5935203080679465,1.6854855831139584,Highly Urban/ Urban,Highly Urban,Urban,-0.029808388785427995,-1.4005074810388787,0.29343482201946697,0.9477419730989176,1.2321445198220733,1.2420563483083578,-1.260248601380102,-0.14704315083089695,1.2770428985571947,1.4997349205305388,1,0,1,0,0,1,0.6708203932499369,0.5,0.223606797749979,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
0,0,-0.33642871349117504,-0.2072319878608548,-0.648561868269201,0.11611015406007393,0.6050807737713952,No,0.7929955047385769,No,M,High School,Blue Collar,-0.7146233279371306,Commercial,-0.0886223331443923,-1.0478344745888413,Minivan,Yes,-0.45689968753339677,-0.6874356046597513,No,-0.790660472987508,-1.2901028290360927,Highly Urban/ Urban,Highly Urban,Urban,0.05867480420844831,0.8235686073277444,0.7625600856173645,-1.0873285683148775,-0.7899687698059582,-1.2850861725115161,-0.6609608008295296,-0.14704315083089695,-0.7890650656991534,-1.414484046493782,1,0,1,0,0,1,-0.6708203932499369,0.5,-0.2236067977499789,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
0,0,-0.33642871349117504,0.6070057400796954,-0.648561868269201,1.1002901394387115,1.0927632275100538,No,0.6906368802569075,Yes,F,PhD,Doctor,0.16260982043090283,Private,0.2760831369609685,-1.0478344745888413,SUV,No,1.774116490456463,1.0264285059320701,Yes,0.5935203080679465,1.5104509706345437,Highly Urban/ Urban,Highly Urban,Urban,0.3920395167810885,0.7651931237392686,1.1631158825410037,0.9477419730989176,1.3749062646847001,-1.2850861725115161,0.23983352553451825,1.4702987286708722,1.2770428985571947,1.3751129837863882,1,0,0,1,1,0,0.6708203932499369,0.5,0.223606797749979,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
1,2946,-0.33642871349117504,-1.2541090666415622,0.23806985066402347,0.3621551504047333,1.3064881928970729,Yes,-1.182840082052029,No,F,Bachelors,Blue Collar,0.7892049264080696,Commercial,0.20814780429428364,-1.0478344745888413,Sports Car,No,-0.45689968753339677,-0.6874356046597513,No,-0.790660472987508,-0.23989515415960405,Highly Urban/ Urban,Highly Urban,Urban,0.3291889806201097,-1.4005074810388787,1.297712652186369,-1.0873285683148775,-0.7899687698059582,-1.2850861725115161,0.8129712394891806,0.2181203319193066,-0.7890650656991534,-0.10295168412124098,0,1,1,0,1,0,-0.22360679774997896,-0.5,0.6708203932499368,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
1,2501,-0.33642871349117504,-1.2541090666415622,-0.648561868269201,-0.12993484228458543,0.015166717587797003,No,-1.182840082052029,No,F,Bachelors,Clerical,0.037290799235469484,Private,-0.5343734632731666,-1.0478344745888413,SUV,No,-0.45689968753339677,-0.6874356046597513,No,-0.790660472987508,-1.2901028290360927,Highly Urban/ Urban,Highly Urban,Urban,-0.41811343529629325,-1.4005074810388787,0.18842703372298353,-1.0873285683148775,-0.7899687698059582,-1.2850861725115161,0.11925824880659874,-0.4512663682589904,-0.7890650656991534,-1.414484046493782,1,0,1,0,1,0,-0.22360679774997896,-0.5,0.6708203932499368,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
0,0,-0.33642871349117504,1.1886041171800885,-0.648561868269201,0.11611015406007393,-0.0639001237032223,No,0.20143992151818418,Yes,M,Bachelors,Manager,-0.5266447961439805,Commercial,0.22840921930013702,0.3834335118609018,Van,Yes,0.12683082934920795,1.0264285059320701,Yes,0.5935203080679465,0.11017407079922548,Highly Urban/ Urban,Highly Urban,Urban,0.34998372850651127,0.4610918404424539,0.09718906016561246,0.9477419730989176,1.2451910231520875,0.6229266296380124,-0.4551913676759862,-0.14704315083089695,1.2770428985571947,0.23763120604999444,1,0,0,1,0,1,-0.22360679774997896,-0.5,0.6708203932499368,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,0,-0.33642871349117504,-0.6725106895411692,2.0113332885304724,0.3621551504047333,-0.21469898924725755,Yes,0.2069622334415218,No,F,Bachelors,Clerical,0.6012263946149196,Private,-0.6070761877059346,0.14488884745261127,SUV,No,-0.45689968753339677,-0.6874356046597513,No,-0.790660472987508,0.8103125207168845,Highly Rural/ Rural,Highly Rural,Rural,-0.5023161930665511,0.4648013860776853,-0.06190284957553256,-1.0873285683148775,-0.7899687698059582,0.42537686198848,0.6457385487569388,0.2181203319193066,-0.7890650656991534,0.8423473584607604,0,1,1,0,1,0,-0.22360679774997896,-0.5,0.6708203932499368,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,-0.33642871349117504,-0.32355166328093343,-0.648561868269201,0.11611015406007393,-0.047676502966621646,No,0.2934144490313522,Yes,M,Masters,Lawyer,0.5385668840172029,Private,-0.17801092875845131,0.14488884745261127,Minivan,No,-0.45689968753339677,-0.6874356046597513,No,-0.790660472987508,1.3354163581551288,Highly Urban/ Urban,Highly Urban,Urban,-0.03488353497942753,0.5219416682081658,0.11254339665179693,-1.0873285683148775,-0.7899687698059582,0.42537686198848,0.589153401999568,-0.14704315083089695,-0.7890650656991534,1.2473345619545606,1,0,0,1,0,1,0.22360679774997896,-0.5,-0.6708203932499369,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,0,-0.33642871349117504,-1.2541090666415622,2.0113332885304724,0.6082001467493926,-0.5848586118007324,No,-0.4771900014447376,Yes,F,Masters,Lawyer,-0.4013257749485472,Private,-0.8800093663141948,0.3834335118609018,SUV,No,-0.45689968753339677,-0.6874356046597513,No,-0.790660472987508,2.035554808072788,Highly Urban/ Urban,Highly Urban,Urban,-0.8108520217628595,-0.07137296265634512,-0.5224967692621066,-1.0873285683148775,-0.7899687698059582,0.6229266296380124,-0.32242426487989184,0.6171017315004257,-0.7890650656991534,1.7403761458932392,1,0,0,1,1,0,0.22360679774997896,-0.5,-0.6708203932499369,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
1,6857,-0.33642871349117504,-1.952027119162034,0.23806985066402347,0.6082001467493926,-0.37645864070401536,No,0.12744555007251732,Yes,F,High School,Blue Collar,-0.2760067537531139,Commercial,-0.8311436007118426,0.14488884745261127,SUV,No,0.5804177683826878,1.0264285059320701,No,-0.790660472987508,-1.2901028290360927,Highly Urban/ Urban,Highly Urban,Urban,-0.7515719287395619,0.4106542313041801,-0.257285790916519,-1.0873285683148775,1.3043809688524346,0.42537686198848,-0.1927963747365155,0.6171017315004257,1.2770428985571947,-1.414484046493782,1,0,0,1,1,0,-0.6708203932499369,0.5,-0.2236067977499789,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
1,3627,-0.33642871349117504,-0.2072319878608548,-0.648561868269201,0.6082001467493926,-0.5186587800594309,No,0.16535672066166113,Yes,M,High School,Blue Collar,1.1651619899943697,Commercial,1.296304974902762,-1.0478344745888413,Panel Truck,Yes,-0.45689968753339677,-0.6874356046597513,No,0.5935203080679465,-1.2901028290360927,Highly Urban/ Urban,Highly Urban,Urban,1.1995786836385558,0.43666903654532135,-0.42981429149826605,0.9477419730989176,-0.7899687698059582,-1.2850861725115161,1.1371056152843375,0.6171017315004257,-0.7890650656991534,-1.414484046493782,1,0,0,1,0,1,-0.6708203932499369,0.5,-0.2236067977499789,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1
