Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,Bat_H_Pitch_H_Ratio,Bat_HR_Pitch_HR_Ratio,Bat_BB_Pitch_BB_Ratio,Bat_SO_Pitch_SO_Ratio
70,-1.0425090198659757,-0.5430782373372585,-1.590514435523447,1.3511553985478282,1.8037387424875106,1.3270282854163704,-1.5500252870448041,-1.2059751301648767,1.2697228184075657,1.3727574492224226,1.1866735488382611,0.7086784033602801,0.24104294228405043,0.6034680138478934,0.6161432336131374,0.6058621469599357,0.5607029969793202
86,-0.6679917730386744,-0.2477266151480718,-0.5350532002469199,0.4353586423989791,0.8619933235866827,0.6022061028026251,-1.212000824403442,-0.9303214152372683,0.35943326280043053,0.60549076858358,0.48769268888232015,0.45180100218836244,0.15881757541306557,0.7174477655923039,0.7165040986706249,0.7172785521791276,0.6827245195956227
75,-1.6560552801371082,-0.9844179331727014,-0.47101505795143167,-0.3422046411236286,-0.9420732017775538,0.8591051042353449,0.24708671316358785,-1.9041527420981248,-0.3991413668721821,-1.1377642722607488,0.7288534637595664,-0.6594127261214392,-0.003702582737000939,0.7174477655923039,0.7165040986706249,0.7172785521791276,0.6827245195956227
85,-1.7189857582277792,-1.6832682782492647,-0.4087316079231224,0.05521659267681534,-0.7945709072509182,1.106829141331182,-1.430674969814695,-1.8820182697756365,0.005431768953211311,-0.9360885581810787,0.9826639894641088,-1.0112779484698011,-0.5138083533577107,0.5976139126143346,0.5515351691420763,0.5918900139067617,0.5731371244392719
78,-1.386725022700438,-1.4871537200613365,-1.1249750150130216,-0.5149964819064303,-1.7249699958035434,0.4691691199178238,-0.7790372844157043,-1.0475394215655265,-0.5002846508285305,-1.8474982937225206,0.535404639469913,-0.7805834368291127,-0.3209234080929107,-0.0971416216143535,-0.15662512724457442,-0.10137038741492431,-0.11531180434214167
72,-1.1126569396829997,-1.07890662256037,-0.1753778031163309,-0.9815344520199949,0.805261671845669,0.13887040379004115,1.7133396468884907,-1.272972767466689,-1.022858284602997,0.5960408280730346,0.06368384556341562,0.6000673994007949,0.6616912499925416,0.602874379891039,0.7165040986706249,0.5896027111743287,0.5678363934976836
76,-1.80335603196675,-0.7506380438180591,-1.4894665235198001,-0.8433009793937536,0.09044285990889597,0.12052047511627544,0.5591915134426989,-2.062045266238074,-0.8880005726611991,-0.07581913176141805,0.023190849988703813,0.004272671706282438,-0.3985785209068219,0.7174477655923039,0.7165040986706249,0.7172785521791276,0.6827245195956227
74,-0.63886621127570975,-0.2252158760790488,-0.231509141894991,0.33168353792929806,0.18121350269451794,0.4324692625702924,1.0213382179160262,-0.903740463568553,0.25828997884408217,0.008704922484290056,0.3259287680581024,-0.058576927300729956,-0.47556609933483296,0.7174477655923039,0.7165040986706249,0.7172785521791276,0.6827245195956227
87,-0.2847675841791115,-0.38340852911393547,-1.0423039510230931,-0.06573769587114586,0.1471745116499097,-0.4758522067811099,-0.15447297429528076,-0.5896643685422823,-0.12942594298858648,-0.022844490099997086,-0.577823539659215,-0.3102485858443916,-0.5138083533577107,0.7174477655923039,0.7165040986706249,0.7172785521791276,0.6827245195956227
93,0.636688067144656,0.5454750414086154,-1.2107664689496924,1.2820386622347075,0.9868029574169128,-0.1180285976426787,-0.9233635933419228,0.1538421835234567,1.185436748443942,0.708416242475221,-0.21347242827401983,-1.2307158557052507,0.9215847416179327,0.7174477655923039,0.7165040986706249,0.7172785521791276,0.6827245195956227
